Distance,Area,class
3,82476,1
8,82348,1
9,82002,1
10,81528,1
11,80618,1
12,78776,1
13,78660,1
14,78776,1
15,78660,1
16,79464,1
17,79002,1
18,79234,1
19,78776,1
20,79464,1
21,79464,1
22,79464,1
23,78776,1
24,79464,1
25,79464,1
26,79464,1
27,79002,1
28,79464,1
29,79464,1
30,79464,1
31,79464,1
32,79002,1
33,79002,1
34,79002,1
35,79002,1
36,78776,1
37,79120,1
38,79464,1
39,79234,1
40,79234,1
41,78776,1
42,79808,1
43,80618,1
44,81550,1
50,82250,1
51,81780,1
52,81310,1
53,80496,1
1,24700,2
3,24960,2
4,24960,2
7,24960,2
11,24960,2
12,24960,2
14,24320,2
15,24320,2
16,24130,2
17,24384,2
18,23940,2
19,24130,2
20,23940,2
21,24000,2
22,24000,2
23,24130,2
24,23940,2
25,23940,2
26,24384,2
27,24130,2
28,23750,2
29,24130,2
30,23940,2
31,24192,2
32,24384,2
33,24320,2
35,24768,2
36,24320,2
37,24576,2
39,24768,2
40,24384,2
41,24320,2
42,24576,2
43,24768,2
44,24510,2
45,24130,2
46,23876,2
47,23876,2
48,23688,2
49,23064,2
50,22816,2
51,22568,2
52,22386,2
53,22204,2
58,22022,2
59,22022,2
60,22386,2
61,22632,2
62,23064,2
63,23500,2
64,23312,2
65,24130,2
66,24768,2
67,24700,2
68,24768,2
69,24768,2
70,24700,2
71,24700,2
72,24510,2
73,24700,2
74,24700,2
75,24510,2
76,24510,2
77,24510,2
78,24700,2
86,24252,2
87,23876,2
88,23064,2
89,23064,2
90,22692,2
91,22692,2
92,22878,2
93,22448,2
94,22448,2
95,22264,2
96,22448,2
97,22632,2
98,23124,2
99,22878,2
100,22878,2
101,22264,2
102,22134,2
8,8103,3
9,8103,3
10,8176,3
11,8176,3
12,8176,3
13,8176,3
14,8176,3
15,8176,3
16,8249,3
17,8322,3
18,8436,3
19,8322,3
20,8436,3
21,8436,3
22,8436,3
23,8288,3
24,8288,3
25,8436,3
26,8436,3
27,8436,3
28,8436,3
29,8436,3
35,8436,3
36,8436,3
37,8436,3
38,8436,3
39,8436,3
40,8436,3
41,8400,3
42,8288,3
43,8176,3
54,8288,3
55,8288,3
56,8400,3
57,8436,3
1,4816,4
2,4816,4
3,4620,4
4,4704,4
5,4704,4
6,4704,4
7,4704,4
8,4704,4
9,4704,4
10,4704,4
11,4536,4
12,4620,4
13,4730,4
14,4644,4
15,4620,4
16,4536,4
17,4536,4
25,4536,4
26,4620,4
27,4620,4
28,4620,4
29,4730,4
30,4816,4
31,4730,4
32,4816,4
33,4816,4
34,4730,4
1,2992,5
2,2904,5
3,2904,5
4,2904,5
5,2838,5
6,2992,5
7,2992,5
8,2992,5
9,2992,5
10,2772,5
11,2904,5
12,2772,5
13,2772,5
14,2838,5
15,2992,5
16,2924,5
17,2904,5
18,2772,5
19,2838,5
20,2838,5
21,2772,5
22,2838,5
23,2992,5
24,2904,5
25,2838,5
26,2772,5
27,2992,5
28,2706,5
29,2838,5
30,2772,5
31,2838,5
32,2924,5
33,2838,5
34,2904,5
35,2772,5
36,2992,5
37,2992,5
38,2992,5
39,3060,5
40,3060,5
41,2992,5
42,2856,5
43,2940,5
44,2924,5
45,3010,5
46,2788,5
47,2992,5
2,2016,5
3,2016,5
9,2072,5
10,1960,5
11,2072,5
12,2072,5
13,1960,5
14,2072,5
15,2146,5
16,2146,5
17,2146,5
18,2146,5
19,2146,5
20,2146,5
21,2146,5
22,2146,5
23,2146,5
24,2146,5
25,1960,5
26,2072,5
27,1960,5
28,2072,5
29,2072,5
30,2016,5
31,2016,5
32,2072,5
33,1960,5
34,1960,5
35,2016,5
36,2072,5
37,1960,5
38,2072,5
39,2146,5
40,2016,5
41,1960,5
42,2072,5
43,1960,5
44,2016,5
45,2016,5
47,1960,5
48,2016,5
49,2072,5
50,2072,5
51,2016,5
52,2128,5
1,1440,5
2,1440,5
3,1440,5
4,1440,5
5,1440,5
6,1440,5
7,1488,5
8,1488,5
9,1426,5
10,1488,5
11,1488,5
12,1426,5
13,1488,5
14,1472,5
15,1426,5
16,1426,5
17,1426,5
18,1426,5
19,1426,5
20,1488,5
21,1488,5
22,1488,5
23,1440,5
24,1392,5
25,1392,5
26,1488,5
27,1488,5
28,1488,5
29,1440,5
30,1488,5
31,1392,5
32,1488,5
1,1040,6
2,1040,6
3,1040,6
4,1040,6
5,1040,6
6,1040,6
7,1040,6
8,1040,6
9,1040,6
10,1040,6
11,1040,6
12,1040,6
13,1040,6
14,1050,6
15,1092,6
16,1050,6
17,1134,6
18,1092,6
19,1092,6
20,1092,6
21,1092,6
22,1092,6
23,1092,6
24,1040,6
25,1040,6
26,1040,6
27,1040,6
28,1040,6
29,1092,6
30,1040,6
31,1040,6
32,1040,6
33,1040,6
34,1040,6
35,1040,6
36,1040,6
37,1040,6
38,1092,6
1,836,7
2,828,7
3,792,7
4,828,7
5,828,7
6,828,7
7,828,7
8,792,7
9,828,7
10,792,7
11,828,7
12,792,7
13,828,7
14,828,7
15,828,7
16,828,7
17,828,7
18,828,7
19,828,7
20,828,7
21,792,7
22,828,7
23,828,7
24,874,7
25,874,7
26,828,7
27,828,7
28,828,7
29,828,7
30,828,7
31,828,7
32,828,7
33,828,7
34,828,7
35,864,7
36,864,7
37,828,7
38,864,7
39,828,7
40,874,7
41,912,7
42,950,7
